Date,GHI,PR
11/27/2019,4.909691667,81.48757264
11/28/2019,5.075216667,65.5584894
11/29/2019,5.35635,78.72331671
11/30/2019,4.935858333,60.77978722
12/1/2019,5.164416667,61.25222241
12/2/2019,4.657616667,61.31309634
12/3/2019,3.829925,60.40035154
12/4/2019,4.460291667,80.60564465
12/5/2019,4.068883333,73.77890815
12/6/2019,5.344333333,83.93623574
12/7/2019,4.428558333,80.91636115
12/8/2019,5.077075,81.46790449
12/9/2019,5.0002,61.30788505
12/10/2019,4.376766667,60.54377212
12/11/2019,5.168558333,68.95062491
12/12/2019,4.644183333,76.98429416
12/13/2019,4.143758333,75.90255117
12/14/2019,4.925783333,84.88059762
12/15/2019,5.208358333,76.07204674
12/16/2019,4.99965,78.14347624
12/17/2019,4.757833333,77.94346736
12/18/2019,4.156325,70.36822921
12/19/2019,3.243291667,78.06714009
12/20/2019,4.259316667,64.69162537
12/21/2019,4.399291667,82.21676331
12/22/2019,4.312083333,60.49224797
12/23/2019,4.073933333,80.25737052
12/24/2019,3.98975,67.74430231
12/25/2019,4.621975,67.63623348
12/26/2019,3.447866667,75.19495773
12/27/2019,4.633091667,75.95471354
12/28/2019,4.370766667,76.32490555
12/29/2019,4.674466667,73.80300758
12/30/2019,3.726258333,84.08749907
12/31/2019,4.288491667,80.96501977
1/1/2020,5.07465,83.70730941
1/2/2020,4.731758333,68.11311075
1/3/2020,4.44045,63.18895586
1/4/2020,3.618475,60.44237102
1/5/2020,4.872125,81.86359152
1/6/2020,4.023158333,70.89008782
1/7/2020,4.219875,67.39285215
1/8/2020,3.9045,64.29792409
1/9/2020,4.863875,65.62512904
1/10/2020,4.460858333,72.34655683
1/11/2020,3.445625,65.55901557
1/12/2020,2.95095,65.92991342
1/13/2020,4.940891667,67.91174794
1/14/2020,5.287825,74.22727911
1/15/2020,5.303925,69.69250469
1/16/2020,4.468491667,72.97746538
1/17/2020,4.801725,80.58311758
1/18/2020,3.778675,77.46247881
1/19/2020,4.791725,66.24289263
1/20/2020,5.269483333,72.96244806
1/21/2020,4.84485,82.20132235
1/22/2020,4.168266667,79.48746197
1/23/2020,4.586733333,83.05266113
1/24/2020,5.462783333,68.40994828
1/25/2020,5.043483333,76.61827091
1/26/2020,5.185541667,61.44432892
1/27/2020,4.759466667,84.4285727
1/28/2020,5.548808333,79.5164149
1/29/2020,4.882208333,74.37671701
1/30/2020,4.496141667,72.74831232
1/31/2020,4.346266667,74.59827958
2/1/2020,3.808933333,71.53914034
2/2/2020,4.807375,81.08305582
2/3/2020,5.049441667,76.69208752
2/4/2020,4.772808333,60.07748076
2/5/2020,5.172516667,79.76798567
2/6/2020,4.62125,68.61560135
2/7/2020,5.256708333,68.221907
2/8/2020,4.639883333,67.14574438
2/9/2020,3.420391667,76.95976768
2/10/2020,4.015516667,81.43525406
2/11/2020,5.081233333,69.42633522
2/12/2020,4.590058333,64.03814869
2/13/2020,5.550083333,70.12644246
2/14/2020,4.707008333,82.65052929
2/15/2020,5.042708333,72.65061161
2/16/2020,4.418366667,75.54118779
2/17/2020,5.067591667,81.3842326
2/18/2020,5.636816667,77.90623055
2/19/2020,6.350425,76.79041536
2/20/2020,5.145483333,83.89612571
2/21/2020,5.7667,83.53209907
2/22/2020,6.243441667,69.68113594
2/23/2020,6.434125,60.06530537
2/24/2020,6.1229,62.6673872
2/25/2020,5.188775,78.0071967
2/26/2020,5.680933333,65.72326849
2/27/2020,5.403366667,65.54940032
2/28/2020,6.12265,64.56595764
2/29/2020,5.796691667,82.30482922
3/1/2020,5.176516667,74.88923695
3/2/2020,4.816608333,63.66429443
3/3/2020,4.1532,72.6161465
3/4/2020,4.285125,70.46245743
3/5/2020,4.463325,62.78228328
3/6/2020,3.399758333,83.10785383
3/7/2020,5.052308333,62.56384478
3/8/2020,4.931158333,78.41201713
3/9/2020,4.916208333,70.01554065
3/10/2020,5.029041667,79.59305672
3/11/2020,4.954483333,70.73858114
3/12/2020,6.153458333,61.86801705
3/13/2020,6.144225,82.27915168
3/14/2020,5.178616667,75.00459407
3/15/2020,6.693333333,64.78337215
3/16/2020,6.1471,81.32610463
3/17/2020,5.987283333,66.79593751
3/18/2020,5.698666667,74.95654113
3/19/2020,5.195333333,73.80255292
3/20/2020,6.153958333,70.69409106
3/21/2020,6.044691667,81.5368371
3/22/2020,6.300491667,72.19813593
3/23/2020,5.735908333,77.8618266
3/24/2020,5.065016667,77.59843007
3/25/2020,5.75035,66.46583975
3/26/2020,5.283633333,65.64295468
3/27/2020,5.239491667,78.16473702
3/28/2020,4.19995,73.16790602
3/29/2020,5.704341667,78.50808763
3/30/2020,5.285141667,75.83693391
3/31/2020,4.233066667,60.67226397
4/1/2020,5.621783333,82.11412349
4/2/2020,5.678833333,74.55928009
4/3/2020,6.185891667,66.57508661
4/4/2020,5.683275,62.87570892
4/5/2020,6.892741667,75.3222915
4/6/2020,5.083058333,81.68313782
4/7/2020,4.884625,61.78406378
4/8/2020,3.9222,77.17234434
4/9/2020,5.728558333,60.87938942
4/10/2020,5.737091667,71.28257684
4/11/2020,4.889091667,82.41476398
4/12/2020,5.596908333,76.130166
4/13/2020,1.867816667,75.91324908
4/14/2020,4.534533333,70.20791599
4/15/2020,4.452058333,66.79622733
4/16/2020,5.429983333,77.3903263
4/17/2020,4.472725,84.3892094
4/18/2020,5.449091667,77.60284402
4/19/2020,5.1757,80.89820241
4/20/2020,5.584291667,79.2948459
4/21/2020,6.457483333,76.03952017
4/22/2020,4.577166667,77.48334589
4/23/2020,5.740241667,62.82706934
4/24/2020,5.062733333,84.1218026
4/25/2020,5.805525,65.11002022
4/26/2020,5.5169,75.44146139
4/27/2020,6.154783333,81.05356964
4/28/2020,5.878933333,64.64080488
4/29/2020,6.08545,74.85887606
4/30/2020,5.207166667,63.15958673
5/1/2020,6.03805,66.45267836
5/2/2020,4.663708333,72.70199367
5/3/2020,5.464791667,61.52043168
5/4/2020,4.592633333,83.57701162
5/5/2020,4.253583333,72.70031641
5/6/2020,4.880816667,64.16616159
5/7/2020,4.841466667,73.66441626
5/8/2020,4.510683333,79.27741162
5/9/2020,4.7767,75.53316584
5/10/2020,5.5035,77.48359923
5/11/2020,3.838958333,62.99092766
5/12/2020,4.668425,83.66946472
5/13/2020,5.32895,61.29004466
5/14/2020,5.247483333,79.66622125
5/15/2020,5.217991667,73.66880954
5/16/2020,4.272483333,60.20311141
5/17/2020,4.650916667,70.90608973
5/18/2020,6.124416667,74.52685415
5/19/2020,6.448066667,67.26114675
5/20/2020,3.399866667,70.21361199
5/21/2020,6.2427,82.32711052
5/22/2020,6.165941667,80.67790069
5/23/2020,1.4891,62.74954517
5/24/2020,5.269075,81.82315425
5/25/2020,4.344958333,75.91676788
5/26/2020,6.278041667,67.16432717
5/27/2020,5.529083333,75.5982992
5/28/2020,4.094625,60.14444599
5/29/2020,3.191908333,78.11811297
5/30/2020,4.843125,74.37539486
5/31/2020,5.349741667,79.16048578
6/1/2020,5.753025,71.53446031
6/2/2020,5.967441667,64.08646177
6/3/2020,6.481433333,80.38717989
6/4/2020,3.482566667,60.82239997
6/5/2020,6.091116667,75.2775677
6/6/2020,4.356791667,80.05087178
6/7/2020,5.720458333,76.95485378
6/8/2020,6.532991667,77.23057649
6/9/2020,3.159608333,61.45226716
6/10/2020,2.94105,80.56177209
6/11/2020,4.143441667,80.49167267
6/12/2020,5.833833333,76.09915651
6/13/2020,4.894733333,79.12138992
6/14/2020,2.969216667,69.28932896
6/15/2020,4.313208333,81.96849911
6/16/2020,4.991241667,77.38420173
6/17/2020,5.370116667,80.78633305
6/18/2020,6.145133333,70.69656628
6/19/2020,3.97175,63.21001611
6/20/2020,5.586458333,65.50143335
6/21/2020,3.6268,60.59029075
6/22/2020,5.206775,71.52459314
6/23/2020,5.4909,76.83622871
6/24/2020,4.751008333,65.04704193
6/25/2020,3.24855,70.15457285
6/26/2020,5.469508333,74.3154578
6/27/2020,5.332758333,74.96356782
6/28/2020,3.041866667,77.37486539
6/29/2020,2.168291667,70.47128212
6/30/2020,2.612158333,65.03854779
7/1/2020,4.446141667,60.27022685
7/2/2020,5.703241667,72.57201088
7/3/2020,4.314441667,60.52503388
7/4/2020,5.0388,69.59664044
7/5/2020,3.555841667,61.4168444
7/6/2020,3.430008333,60.63686397
7/7/2020,5.052775,70.1795035
7/8/2020,4.669158333,70.98429495
7/9/2020,4.819108333,62.52589819
